=== Sheet: Sheet1 ===
Name	Degree Field	Degree Level	Experience (Years)	Publications	Lab Trained (Y/N)	Citizen (Y/N)	Programming Lang	Second Language
Hollie Wallace	Biotechnology	Master	2	4	Y	N	C++	N/A
Nabil Bates	Biology	Ph. D.	4	1	Y	Y	Fortran	Spanish
Abi Haines	Biology	Master	3	4	Y	Y	C#	German
Tyrone Miller	Biology	Bachelor	3	4	Y	Y	Fortran	N/A
Laurence Vale	Biology	Master	5	5	N	Y	Perl	Spanish
Jerry Randolph	Biochemistry	Master	6	5	Y	Y	Fortran	German
Rehan O'Gallagher	Biology	Bachelor	2	5	Y	N	C#	N/A
Rahim Cummings	Biology	Bachelor	2	2	N	Y	Fortran	Spanish
Dominik Rollins	Biology	Bachelor	4	6	Y	Y	Java	Spanish
Safwan Sanders	Biotechnology	Bachelor	4	6	Y	Y	C#	Arabic
Davina Mckay	Biology	Ph. D.	1	5	Y	Y	C++	N/A
Harris Bright	Accounting	Bachelor	5	5	Y	N	C++	Spanish
Tiana Rubio	Biochemistry	Ph. D.	5	5	N	Y	Fortran	Arabic
Judith Gordon	Biochemistry	Ph. D.	2	5	Y	N	JavaSFortranript	French
Annabelle Cortez	Biology	Master	1	1	Y	Y	C#	N/A
Fleur Woodard	Biology	Bachelor	3	5	N	Y	C#	Chinese
Helena Lloyd	Biology	Master	10	4	Y	Y	C#	Arabic
Amelia Molina	Genetics	Ph. D.	3	3	Y	Y	Fortran	Chinese
Kaylee Hebert	Chemistry	Associate	3	5	Y	N	C#	N/A
Chester Gilmore	Biochemistry	Master	3	5	N	Y	Fortran	Spanish
Kara Mcmahon	Biology	Ph. D.	4	4	Y	Y	C#	French
Karen Singleton	Biology	Bachelor	3	6	Y	N	C++	Chinese
Cecily Jackson	Biology	Master	2	5	Y	Y	C#	N/A
Lucille Blevins	Biology	Master	1	3	Y	Y	C#	Chinese
Alannah Clark	Biochemistry	Master	3	3	Y	Y	Fortran	N/A
Daniel Rangel	Genetics	Master	3	6	Y	Y	C#	Spanish
Tim Harmon	Biotechnology	Ph. D.	4	3	Y	N	C#	N/A
Tariq Nixon	Biology	Associate	8	2	Y	Y	Fortran	German
Carmen Jennings	Biochemistry	Associate	2	2	Y	Y	Fortran	Spanish
Natasha Johnson	Chemistry	Master	5	2	Y	Y	C++	Chinese
Maxwell Patrick	Biology	Master	4	1	Y	Y	C++	Spanish
Isha Middleton	Biotechnology	Master	5	5	Y	Y	C#	N/A
Amir Fadel	Biology	Ph. D.	5	4	Y	N	Fortran	Chinese
Anthony Waters	Biology	Associate	5	5	Y	Y	Python	German
Darren Trujillo	Nursing	Master	7	3	Y	Y	C++	N/A
Poppie Gibbs	Biotechnology	Bachelor	4	1	Y	Y	Fortran	Chinese
Kelly Bentley	Chemistry	Master	4	3	Y	Y	Python	Chinese
Louis Welch	Biotechnology	Ph. D.	4	5	Y	Y	Haskell	N/A
Caiden Ross	Biotechnology	Ph. D.	1	6	Y	Y	Fortran	Spanish
Eliot Farrell	Biochemistry	Master	4	2	Y	Y	Java	French
Lillie Mcknight	Biotechnology	Ph. D.	4	6	Y	Y	C++	N/A
Subhan Hahn	Biology	Master	2	4	Y	Y	C++	Spanish
Erika Oconnor	Biochemistry	Bachelor	1	4	N	N	Python	Spanish
Meghan Buckley	Biology	Master	2	6	Y	Y	JavaSFortranript	Japanese
Crystal Hansen	Biology	Master	3	6	Y	Y	JavaSFortranript	N/A
Kiera Moore	Biology	Ph. D.	5	4	N	Y	Fortran	French
Marco Vance	Biochemistry	Ph. D.	2	3	Y	Y	C++	German
Polly Fowler	Biochemistry	Master	9	5	Y	N	C#	N/A
Moshe Ballard	Biology	Bachelor	5	5	Y	Y	Python	Chinese
Jermaine Proctor	Biology	Master	3	2	Y	Y	C#	Spanish
